Ctry,Code,GDPQ2,,,,
Taiwan,TWN,-0.6,,,,
South Korea,KOR,-3.0,,,,
Lithuania,LTU,-3.7,,,,
Finland,FIN,-5.2,,,,
Norway,NOR,-5.3,,,,
Indonesia,IDN,-5.4,,,,
Nigeria,NGA,-6.1,,,,
Israel,ISR,-7.8,,,,
Poland,POL,-7.9,,,,
Bulgaria,BGR,-8.2,,,,
Sweden,SWE,-8.3,,,,
Denmark,DNK,-8.5,,,,
Netherlands,NLD,-9.0,,,,
United States,USA,-9.5,,,,
Latvia,LVA,-9.6,,,,
Japan,JPN,-10.0,,,,
Romania,ROU,-10.5,,,,
Czech Republic,CZE,-10.7,,,,
Germany,DEU,-11.7,,,,
Cyprus,CYP,-11.9,,,,
Slovakia,SVK,-12.1,,,,
Singapore,SGP,-13.2,,,,
Austria,AUT,-13.3,,,,
Canada,CAN,-13.4,,,,
Hungary,HUN,-13.5,,,,
Chile,CHL,-13.7,,,,
Belgium,BEL,-14.5,,,,
Colombia,COL,-15.7,,,,
Portugal,PRT,-16.3,,,,
Philippines,PHL,-16.5,,,,
Malaysia,MYS,-17.1,,,,
Italy,ITA,-17.3,,,,
Mexico,MEX,-18.9,,,,
France,FRA,-19.0,,,,
Tunisia,TUN,-21.6,,,,
United Kingdom,GBR,-21.7,,,,
Spain,ESP,-22.1,,,,
Peru,PER,-30.2,,,,
