CPI Average Prices 2020,,
,,
,,20-Mar
x,Large Loaf-White-unsliced-800g,1.16
,six bread rolls-white / brown,0.84
,white sliced loaf-branded (800g),1.06
,wholemeal sliced loaf- branded (800g),1.06
,chilled garlic bread e.g. baguette-each,0.8
,Flour-self-raising-1.5kg,0.69
,dry spaghetti or pasta (500g),0.72
,corn snack eg wotsits; skips; single packet,0.8
,basmati rice 500g-1kg,1.5
,breakfast cereal 1 sugar/chocolate coated,2.62
,breakfast cereal 2 not sugar/chocolate coated,2.11
,cereal bar-each,0.37
,hot oat cereal,1.78
,"Rice, microwave pouch/tray 220-280g",0.89
,"Popcorn, Bag, 10-30g",0.31
,"Breakfast Cereal, Gluten Free",2.4
,"Cream Crackers, packet, 200g-300g",0.87
,Plain Biscuits-200-300g (eg Digestive),0.94
,Doughnut-each,0.35
,whole sponge cake; not frozen; eg Victoria sponge,1.66
,pack of 5-6 individual cakes,1.46
,"Biscuit, half chocolate coated, pack, 300-400g",1.12
,"Crumpets, pack",0.76
,home killed beef-lean mince-per kg,6.62
,Home Killed Beef-Rump Steak/popes eye steak-per kg,14.6
,Frozen Beefburgers pack of 4-specify burger weight,2.13
,"Beef, roasting joint, per Kg",9.97
,Home Killed Lamb-Shoulder with bone-per kg,9.08
,"Home killed Lamb, loin chop / steak, per Kg",13.5
,Home Killed Pork-Loin Chops with bone-per kg,5.92
,Bacon-Gammon-per kg,7.28
,Bacon-Back-per kg,7.1
,Fresh/Chilled Chicken-per kg - state size eg small,2.47
,fresh boneless chicken breast- per kg,6.53
,"Fresh Turkey, diced/minced, per Kg",6.8
,cooked ham prepacked sliced 100-125g,2.02
,continental sliced deli type meat 40-100g,2.02
,"Joint, Oven Ready, gammon/pork, 450-700g",4.73
,Chicken Kiev 2 pack 250-300g [chilled not frozen],2.01
,"Home killed liver, per Kg, state type",2.48
,"Cooked meat, turkey/chicken, spec, sliced 100-180g",1.87
,"Meat based snack, multi pack item, max 400g",1.85
,"Cooked Ham, loose",1.77
,spreadable butter 500g 40-70% butter content,3.34
,butter 250g spec country of origin,1.78
,"Peanut Butter, Jar, 225-350 g",1.56
,soft continental cheese per kg,7.46
,shop Milk (whole milk) 4pt/2ltr container -specify,1.11
,"Milk, flavoured, 330 - 500mls/gms",1.11
,"Non-dairy milk drink, carton, 900ml - 1lt",1.5
,yoghurt-small individual-state weight,0.66
,fresh double cream 284ml-300ml,1.09
,powdered baby formula 900g tin follow on milk,9.93
,Tea bags 1: packet of 80 (250g),2.02
,tea bags-2; packet of 240 (approx 750g),3.63
,"Flavoured Tea 15-20 Bags, 30-40g",1.69
,"Fruit Squash eg orange, 750ml - 1.5 litres",1.52
,fruit juice not orange 1 litre carton eg apple,0.88
,Lemonade-2 litre bottle,0.58
,mineral water-still-1.5-2 litre bottle,0.64
,fizzy energy drink eg red bull; lucozade 250-500ml,1.32
,fresh/chilled orange juice eg tropicana (1 litre),1.96
,fizzy bottled drink 500ml,1.47
,Pure Fruit Smoothie 750mls - 1 litre,2.48
,fruit drink bottle 4-8 pack 200-350ml,1.72
,bottle still mineral water 500ml,0.51
,"Mixer drink, bottle, 1 Lt eg tonic",1
,"Cola flavoured/other fizzy drink, 330ml, pack 4-8",3.62
,Flavoured water bott 900ML - 1.5LT,0.72
,"Cola Drink, reg, Bottle, 1.25-2L",1.91
,"Cola Drink, Diet 1.25-2L",1.42
,Sugar -Granulated-white-per kg,0.73
,Jar of jam-340-454g-specify flavour,1.01
,"Honey, jar/bottle, 340g",2.1
,Mints,0.66
,Chocolate 4,0.73
,Fruit Pastilles 2,0.71
,Chewing Gum/Bubble Gum-single pack.,0.57
,carton/box of chocolates 350g - 500g,3.68
,Chocolate 10,0.71
,bag of sweets - branded chocolate,1.33
,bag of sweets - not chocolate,1.09
,"Chocolate, large bar, 100-200g",1.4
,Chocolate 12,0.58
,Chocolate 13,0.59
,"potatoes, New, loose or pre-packed, per Kg",1.32
,potatoes- old white- state loose/pre-pack (per kg),0.72
,potatoes- baking- state loose/pre-pack (per kg),0.94
,Potato Crisps-25g/40g,0.73
,Potato Crisps-multi-pack,1.29
,frozen chips 900g-1kg,1.77
,premium potato crisps eg kettle chips (150-200g),1.32
,"Prepared Mashed Potato, chilled",1.07
,Fresh Veg-Cauliflower-each,0.98
,Fresh Veg-Cucumber-whole,0.62
,Fresh Veg-Lettuce-Iceberg-each,0.67
,fresh veg-tomatoes per kg,2.08
,fresh veg-cabbage state each or per kg,0.71
,fresh veg-carrots per kg,0.59
,fresh veg-onions per kg,0.73
,fresh veg-mushrooms per kg,3
,pre-packed salad 100-250g (specify type),1.24
,fresh veg-broccoli-per kg,1.9
,fresh veg-courgette-per kg,2.12
,fresh veg-peppers - state loose or per kg,0.61
,vegetable stir fry fresh pack 300-500g,1.16
,Sweet Potato,1.27
,CANNED TOMATOES 390-400G,0.47
,"Baked Beans, 400-420g tin",0.62
,canned sweetcorn (198-340g),0.75
,frozen garden peas 800g-1kg,1.4
,Oranges-class 1-each,0.36
,Avocado pear-each,1.09
,Kiwi Fruit-each,0.25
,Grapefruit-each,0.53
,apples-cooking per kg,1.99
,apples-dessert per kg,1.92
,pears-dessert per kg,2.01
,bananas per kg,0.89
,strawberries (state per kg or per punnet),5.53
,grapes per kg,3.92
,small type oranges per pack/kg,2.43
,Plums - state per pack/Kg (see Help screen),2.07
,pineapple each,1.24
,"Fruit, fresh, snacking, 150-350g",1.73
,"Melon, each, eg Honeydew",1.7
,"Lemon, each",0.3
,"Blueberries, punnet",12.32
,"Raspberries, punnet",13.47
,packet of peanuts 100-200g (roasted/salted),1.3
,Canned Fruit-400-450g-specify type,0.95
,dried fruit 100 - 250g pack eg appricots,2.13
,vegetable pickle 280 - 560g eg branston,1.49
,Canned Soup-390-425g,0.78
,"Tomato Ketchup, bottle, 340 - 500g / 290 - 460mls",1.51
,Frozen ready-cooked meal-to serve one,1.68
,Cook-in sauce-jar/can 350-520g (eg bolognese),1.35
,"frozen vegetarian burger/grills, pack, 200 - 454g",1.86
,mayonnaise 400g-500g,1.57
,ice cream specify flavour (500ml-1 litre),2.69
,dried potted snack eg noodles/pasta (50-120g),0.96
,chilled ready meal-meat based-serves 1-specify wgt,2.56
,chilled ready meal-fish/veg based-serves1-spec wgt,2.53
,Chocolate covered ice cream bar 80-130ml eg Magnum,0.65
,"Chilled Pizza,each, 300-600g",3.31
,Quiche,2.21
,"Vegetable Crisps, Pack",1.68
,Coffee: ground: filter fine (227-250g),3
,Coffee-Instant-100g jar,2.96
,hot chocolate drink instant 250-400g,2.32
,"Coffee pods, pack 8-16",3.65
,Takeaway Cooked Pastry Based Savoury Snack,1.16
,"Burger in a Bun, eat in or takeaway",3.26
